iter	RMSE
0	3.184070991
1	3.11299182
2	3.055801933
3	3.008312283
4	2.965464499
5	2.933127724
6	2.904991837
7	2.872962841
8	2.850967541
9	2.82878674
10	2.814321968
11	2.801516155
12	2.792581962
13	2.783021676
14	2.773476394
15	2.76234172
16	2.750355015
17	2.741478414
18	2.730883889
19	2.722528795
20	2.71719226
21	2.712542076
22	2.705017027
23	2.700482722
24	2.697269697
25	2.689588243
26	2.685408411
27	2.683345708
28	2.676515173
29	2.674430857
30	2.671124785
31	2.669005757
32	2.666108855
33	2.660896704
34	2.659507332
35	2.658174907
36	2.655362665
37	2.649659052
38	2.647984173
39	2.645918373
40	2.643748552
41	2.639153402
42	2.637348296
43	2.633621093
44	2.630046494
45	2.62732649
46	2.62596403
47	2.624293107
48	2.623567683
49	2.619923677
50	2.61694014
51	2.614931803
52	2.613450007
53	2.612412339
54	2.611088397
55	2.60917182
56	2.607401021
57	2.606809429
58	2.605941951
59	2.603867892
60	2.599779374
61	2.59844004
62	2.595981729
63	2.594377555
64	2.593298675
65	2.59241776
66	2.590759915
67	2.588835693
68	2.588643554
69	2.587208542
70	2.584995576
71	2.582233488
72	2.580649529
73	2.580485345
74	2.576664625
75	2.575882923
76	2.572229749
77	2.571379539
78	2.569430706
79	2.56861775
80	2.567963248
81	2.566589183
82	2.565941994
83	2.565519868
84	2.564863643
85	2.562484531
86	2.561995536
87	2.561423635
88	2.560059698
89	2.5583747
90	2.55720928
91	2.556428842
92	2.554744924
93	2.554448781
94	2.553095278
95	2.552745716
96	2.552010343
97	2.55116199
98	2.5503051
99	2.550205158
