iter	Passed	Remaining
0	31	3122
1	63	3096
2	94	3065
3	128	3093
4	161	3076
5	194	3040
6	227	3028
7	260	2997
8	291	2950
9	324	2917
10	357	2893
11	389	2857
12	421	2820
13	454	2792
14	488	2767
15	521	2736
16	558	2727
17	596	2719
18	638	2722
19	676	2705
20	712	2678
21	750	2661
22	784	2627
23	818	2591
24	851	2555
25	889	2532
26	926	2504
27	965	2482
28	1003	2455
29	1040	2426
30	1074	2392
31	1109	2358
32	1142	2320
33	1176	2283
34	1209	2245
35	1242	2209
36	1275	2171
37	1306	2131
38	1339	2094
39	1371	2057
40	1402	2018
41	1434	1980
42	1465	1943
43	1498	1907
44	1530	1870
45	1554	1824
46	1586	1789
47	1621	1757
48	1653	1721
49	1686	1686
50	1725	1657
51	1758	1623
52	1790	1588
53	1823	1553
54	1855	1518
55	1887	1482
56	1929	1455
57	1961	1420
58	1994	1386
59	2030	1353
60	2062	1318
61	2096	1284
62	2129	1250
63	2162	1216
64	2196	1182
65	2229	1148
66	2262	1114
67	2294	1079
68	2327	1045
69	2360	1011
70	2393	977
71	2419	940
72	2454	907
73	2487	874
74	2520	840
75	2553	806
76	2585	772
77	2618	738
78	2651	704
79	2692	673
80	2725	639
81	2757	605
82	2790	571
83	2824	537
84	2858	504
85	2891	470
86	2926	437
87	2958	403
88	2991	369
89	3037	337
90	3068	303
91	3100	269
92	3133	235
93	3166	202
94	3198	168
95	3225	134
96	3258	100
97	3289	67
98	3322	33
99	3353	0
