iter	Passed	Remaining
0	135	135839
1	142	71162
2	149	49581
3	155	38742
4	162	32268
5	168	27940
6	175	24901
7	182	22608
8	189	20880
9	196	19416
10	202	18248
11	210	17322
12	216	16471
13	224	15826
14	231	15193
15	238	14693
16	245	14204
17	252	13768
18	259	13395
19	265	13028
20	273	12740
21	279	12444
22	287	12208
23	293	11953
24	300	11721
25	307	11519
26	314	11326
27	322	11186
28	329	11016
29	336	10867
30	343	10729
31	349	10583
32	356	10459
33	363	10320
34	370	10227
35	377	10109
36	384	10002
37	391	9902
38	398	9815
39	405	9738
40	412	9647
41	420	9587
42	427	9504
43	434	9433
44	440	9352
45	447	9271
46	454	9208
47	460	9142
48	468	9095
49	474	9024
50	481	8967
51	488	8900
52	494	8839
53	501	8792
54	508	8736
55	516	8703
56	523	8662
57	530	8622
58	538	8580
59	544	8531
60	551	8486
61	557	8440
62	565	8409
63	572	8368
64	577	8302
65	584	8264
66	591	8230
67	598	8198
68	604	8158
69	611	8121
70	619	8099
71	625	8065
72	633	8040
73	639	8006
74	647	7983
75	653	7950
76	661	7925
77	668	7902
78	674	7868
79	682	7847
80	688	7815
81	696	7792
82	702	7763
83	709	7735
84	716	7711
85	722	7682
86	729	7658
87	735	7626
88	742	7601
89	749	7575
90	756	7554
91	764	7541
92	770	7518
93	778	7499
94	784	7475
95	791	7455
96	798	7436
97	805	7416
98	812	7398
99	820	7381
100	828	7370
101	835	7352
102	842	7341
103	851	7337
104	859	7327
105	866	7305
106	873	7288
107	880	7272
108	887	7253
109	894	7236
110	901	7218
111	908	7206
112	915	7187
113	922	7169
114	929	7151
115	936	7138
116	944	7128
117	951	7115
118	959	7105
119	967	7095
120	974	7080
121	981	7063
122	988	7045
123	994	7025
124	1001	7013
125	1009	6999
126	1015	6983
127	1023	6972
128	1030	6956
129	1037	6940
130	1043	6924
131	1050	6909
132	1058	6898
133	1065	6882
134	1072	6874
135	1079	6859
136	1086	6847
137	1094	6836
138	1101	6822
139	1108	6807
140	1115	6794
141	1122	6784
142	1129	6771
143	1137	6761
144	1144	6746
145	1151	6733
146	1158	6720
147	1164	6704
148	1171	6693
149	1178	6680
150	1186	6670
151	1193	6660
152	1201	6650
153	1208	6637
154	1215	6624
155	1222	6613
156	1228	6598
157	1236	6589
158	1243	6576
159	1250	6567
160	1258	6559
161	1266	6551
162	1273	6540
163	1281	6530
164	1288	6520
165	1295	6506
166	1302	6496
167	1309	6484
168	1316	6475
169	1323	6462
170	1331	6456
171	1338	6445
172	1346	6437
173	1353	6425
174	1360	6414
175	1367	6404
176	1374	6392
177	1382	6386
178	1390	6376
179	1398	6371
180	1406	6363
181	1414	6357
182	1421	6347
183	1429	6341
184	1437	6333
